text,label,start_char,end_char
yesterday,DATE,22558,22567
Mike,PERSON,22615,22619
Brian Hall,PERSON,22680,22690
Mike,PERSON,22779,22783
Brian 200,PERSON,22903,22912
Mike,PERSON,22983,22987
two,CARDINAL,23014,23017
today,DATE,23067,23072
Brian,PERSON,23570,23575
today,DATE,23605,23610
the Student Administration,ORG,23673,23699
Paul,PERSON,23715,23719
Sutton,PERSON,24169,24175
Carter,PERSON,24191,24197
Mike,PERSON,24787,24791
Strike,PERSON,24810,24816
Friday,DATE,25036,25042
this mike,EVENT,25535,25544
One,CARDINAL,25679,25682
Carter,PERSON,26062,26068
Mike,PERSON,26483,26487
Janet Number,PERSON,26679,26691
Bloomington,GPE,26802,26813
The Bloomington Faculty Council,ORG,26936,26967
Kaga,PERSON,27196,27200
Faculty Council,ORG,27579,27594
Bloomington,GPE,27643,27654
The College of Arts and Sciences Policy Committee,ORG,27725,27774
this today,DATE,27891,27901
Chuck Turner,PERSON,28467,28479
at least two,CARDINAL,28518,28530
the 1st 1,DATE,28562,28571
about nine,CARDINAL,28625,28635
Hooker,PERSON,28771,28777
Indiana University,ORG,28953,28971
Chuck,PERSON,29002,29007
today,DATE,29173,29178
several hours,TIME,29657,29670
one second,TIME,29924,29934
Mister,PERSON,29943,29949
Mike,PERSON,29961,29965
second,ORDINAL,29970,29976
ROTC,ORG,30001,30005
More than a year ago,DATE,30007,30027
the Division of Arts and Sciences,ORG,30072,30105
University Council Committee,ORG,30290,30318
About a year ago,DATE,30380,30396
Turner,PERSON,30935,30941
a year ago,DATE,31005,31015
the College of Arts and Sciences,ORG,31109,31141
ROTC,ORG,31155,31159
the College of Arts and Sciences,ORG,31253,31285
the College of Arts and Sciences,ORG,31442,31474
ROTC,ORG,31686,31690
One,CARDINAL,31835,31838
Indiana,GPE,32119,32126
annually,DATE,32286,32294
Ana,PERSON,32357,32360
an ordinary week,DATE,32527,32543
Indiana University,ORG,32661,32679
today,DATE,32696,32701
this morning,TIME,32874,32886
today,DATE,32909,32914
this morning,TIME,33127,33139
Yale,ORG,33452,33456
second,ORDINAL,33499,33505
Carter,PERSON,33534,33540
yesterday,DATE,33555,33564
Dean Harvey,PERSON,33573,33584
yesterday,DATE,33599,33608
this morning,TIME,33645,33657
South,LOC,33782,33787
many years,DATE,33792,33802
Washington,GPE,34676,34686
the next three weeks,DATE,34779,34799
the last 10 days,DATE,35431,35447
12 years,DATE,35906,35914
the Air Force,ORG,35918,35931
last year,DATE,35955,35964
the Veterans of Peace,ORG,36090,36111
Carter,PERSON,36147,36153
Boyle,PERSON,36160,36165
the Faculty Council,ORG,36323,36342
yesterday,DATE,36343,36352
Chris Logan,PERSON,36629,36640
the English Department,ORG,36646,36668
Tom,PERSON,36679,36682
Horst,PERSON,36689,36694
Shelly Geller,PERSON,36699,36712
Peter Linton,PERSON,36717,36729
50,MONEY,36847,36849
50,MONEY,36877,36879
DH,ORG,36960,36962
Tom Shortlist,PERSON,37071,37084
Tom,PERSON,37155,37158
Tom,PERSON,37178,37181
eight,CARDINAL,37197,37202
Tom,PERSON,37238,37241
500,MONEY,37423,37426
tonight,TIME,37611,37618
50,MONEY,37639,37641
500,CARDINAL,37657,37660
500,MONEY,37746,37749
446.80,MONEY,37898,37904
one,CARDINAL,38139,38142
tonight,TIME,38180,38187
seven,CARDINAL,38189,38194
Auditorium,FAC,38224,38234
Stand Mitt,PERSON,38276,38286
Vietnam,GPE,38310,38317
Edwards,PERSON,38329,38336
Sermon on American Servicemen,WORK_OF_ART,38338,38367
Indochinese,NORP,38369,38380
Julius Getman,PERSON,38395,38408
Vietnam,GPE,38410,38417
George Juergens,PERSON,38451,38466
Domestic minutes,TIME,38468,38484
Vietnam,GPE,38488,38495
Keys,GPE,38500,38504
Parker,PERSON,38506,38512
The Black Panthers,ORG,38514,38532
first,ORDINAL,38703,38708
Rick,PERSON,38957,38961
Satin,PERSON,39375,39380
a moment ago,TIME,39785,39797
Khun,PERSON,40086,40090
Bloomington,GPE,40223,40234
Bloomington,GPE,40425,40436
Mike,PERSON,40499,40503
the Arts Arts and Sciences,ORG,40868,40894
two,CARDINAL,41374,41377
one,CARDINAL,42365,42368
Braddock,PERSON,43432,43440
two,CARDINAL,43723,43726
Setting,PERSON,43753,43760
second,ORDINAL,43893,43899
Just a minute,TIME,44091,44104
Automatic,ORG,44555,44564
Indiana University,ORG,44589,44607
The Harvey Report,ORG,45064,45081
Sutton,PERSON,45462,45468
three years,DATE,45502,45513
Thailand,GPE,45568,45576
Thailand,GPE,45636,45644
20 years,DATE,45676,45684
"one point $3,000,000",MONEY,45712,45732
Thailand,GPE,45748,45756
Thailand,GPE,45781,45789
United States,GPE,45914,45927
ROTC,ORG,46024,46028
70%,PERCENT,46037,46040
the United States Army,ORG,46060,46082
Vietnam,GPE,46086,46093
TC,ORG,46099,46101
T. C,ORG,46180,46184
Vietnamese,NORP,46241,46251
Cambodian,NORP,46267,46276
Dawn,PERSON,46315,46319
Payless,FAC,46335,46342
Thailand,GPE,46463,46471
Thailand,GPE,46563,46571
One,CARDINAL,46732,46735
Thailand,GPE,46832,46840
Thailand,GPE,47314,47322
Thailand,GPE,47475,47483
German,NORP,47508,47514
Indiana University,ORG,47753,47771
the University of Wisconsin,ORG,47796,47823
The Michigan State University,ORG,47825,47854
the University of Minnesota,ORG,47860,47887
Indiana,GPE,47893,47900
10,CARDINAL,47923,47925
Teo,PERSON,48006,48009
four,CARDINAL,48101,48105
the Ford Foundation,ORG,48143,48162
the National Institute of Development Administration,ORG,48214,48266
Marty,PERSON,48992,48997
first,ORDINAL,49130,49135
10 years,DATE,49289,49297
Yale,ORG,49871,49875
Carter,PERSON,49909,49915
a few minutes,TIME,49916,49929
Brown,PERSON,49978,49983
just a minute,TIME,50188,50201
Greek,NORP,50266,50271
CBS,ORG,50716,50719
Cambodia,GPE,50909,50917
Mr Sutton,PERSON,51299,51308
"9,000",CARDINAL,51388,51393
"12,040%",PERCENT,51498,51505
United States,GPE,51521,51534
"9,000",CARDINAL,51639,51644
a minute,TIME,51842,51850
Mr Sutton's,PERSON,52105,52116
"9,000",CARDINAL,52184,52189
Cambodia,GPE,52329,52337
Mr Sutton,PERSON,52409,52418
dio,PERSON,52672,52675
1958,DATE,52987,52991
Thailand,GPE,53013,53021
Two,CARDINAL,53112,53115
Southeast Asia,LOC,53136,53150
American,NORP,53446,53454
1970,DATE,53752,53756
one,CARDINAL,53787,53790
One,CARDINAL,53838,53841
Asia,LOC,53985,53989
Africa,LOC,53994,54000
the Near East,LOC,54005,54018
European,NORP,54100,54108
Asia,LOC,54246,54250
Bill,PERSON,54301,54305
the Cambodian War,EVENT,54486,54503
just a minute,TIME,54631,54644
an hour and 20 minutes,TIME,54668,54690
5 30,TIME,54707,54711
German,NORP,54749,54755
Princeton,ORG,54887,54896
two weeks,DATE,54922,54931
the Faculty Council,ORG,55357,55376
18,DATE,55667,55669
yesterday,DATE,55900,55909
the Faculty Action Committee,ORG,55913,55941
two or three weeks,DATE,56293,56311
six weeks,DATE,56497,56506
election Day,DATE,56513,56525
Monroe County,GPE,56599,56612
the second half,DATE,56731,56746
Carter,PERSON,56804,56810
Levy,PERSON,56817,56821
Yale,ORG,56886,56890
one,CARDINAL,56966,56969
one,CARDINAL,56996,56999
1952,DATE,57220,57224
1956,DATE,57232,57236
one,CARDINAL,57274,57277
Princeton,ORG,57297,57306
Princeton,PERSON,57392,57401
two,CARDINAL,57422,57425
weeks,DATE,57441,57446
hours,TIME,57511,57516
Jab,PERSON,58233,58236
14,CARDINAL,58253,58255
40,CARDINAL,58257,58259
14 40 1970,DATE,58280,58290
Two,CARDINAL,58370,58373
first,ORDINAL,58406,58411
"9,000",CARDINAL,58823,58828
two,CARDINAL,59252,59255
"9,000",CARDINAL,59930,59935
one,CARDINAL,60421,60424
Anak Atomic,PERSON,60654,60665
today,DATE,61071,61076
Gary Vote,PERSON,61151,61160
tonight,TIME,61458,61465
Gary,PERSON,61514,61518
two,CARDINAL,61563,61566
two,CARDINAL,61620,61623
One,CARDINAL,61643,61646
Stapley,ORG,61830,61837
four,CARDINAL,61848,61852
afternoon,TIME,62219,62228
"another few 1,000",CARDINAL,62417,62434
this evening's this afternoon,TIME,62587,62616
Harry Predator,PERSON,62628,62642
Dale,PERSON,62667,62671
