text,type,start_char,end_char
faculty council,IU_ORGANIZATION,29608,29623
Carter,PERSON,29861,29867
BYRUM CARTER,IU_PERSON,29927,29939
faculty council,IU_ORGANIZATION,30264,30279
Bloomington,GPE,30329,30340
College of Arts and Sciences,IU_ORGANIZATION,30416,30444
DALE PRYWELLER,PERSON,30512,30526
BYRUM CARTER,IU_PERSON,30552,30564
this today,DATE,30637,30647
DALE PRYWELLER,PERSON,31223,31237
Chuck Turner,PERSON,31243,31255
CHUCK TURNER,PERSON,31266,31278
at least two,CARDINAL,31312,31324
first,ORDINAL,31360,31365
Hooker,PERSON,31579,31585
JOSEPH SUTTON,PERSON,31668,31681
JOSEPH SUTTON,PERSON,31806,31819
Indiana University,IU_ORGANIZATION,31846,31864
CHUCK TURNER,PERSON,31866,31878
DALE PRYWELLER,PERSON,31886,31900
Chuck,PERSON,31927,31932
JOSEPH SUTTON,PERSON,31951,31964
DALE PRYWELLER,PERSON,32046,32060
Chuck CHUCK,PERSON,32062,32073
TURNER,PERSON,32074,32080
today,DATE,32201,32206
JOSEPH SUTTON,PERSON,32465,32478
CHUCK TURNER,PERSON,32486,32498
JOSEPH SUTTON,PERSON,32536,32549
eh--,PERSON,32851,32855
today,DATE,33050,33055
JOSEPH SUTTON,PERSON,33068,33081
CHUCK,PERSON,33138,33143
TURNER,PERSON,33144,33150
Turner,PERSON,33191,33197
CHUCK TURNER,PERSON,33217,33229
second,ORDINAL,33234,33240
ROTC,ORG,33265,33269
More than a year ago,DATE,33271,33291
the Division of Arts and Sciences,ORG,33341,33374
ROTC,ORG,33524,33528
DALE PRYWELLER,PERSON,33649,33663
CHUCK TURNER,PERSON,33673,33685
about a year ago,DATE,33700,33716
in-- JOSEPH SUTTON,PERSON,33740,33758
CHUCK TURNER,PERSON,33765,33777
JOSEPH SUTTON,PERSON,33824,33837
CHUCK TURNER,PERSON,33856,33868
JOSEPH SUTTON,PERSON,34003,34016
faculty council,IU_ORGANIZATION,34075,34090
JOSEPH SUTTON,PERSON,34155,34168
ROTC,ORG,34317,34321
CHUCK TURNER,PERSON,34362,34374
ROTC,ORG,34398,34402
BYRUM CARTER,IU_PERSON,34412,34424
Turner,PERSON,34434,34440
one,CARDINAL,34457,34460
a year ago,DATE,34504,34514
ROTC,ORG,34541,34545
College of Arts and Sciences,IU_ORGANIZATION,34610,34638
ROTC,ORG,34652,34656
College of Arts and Sciences,IU_ORGANIZATION,34755,34783
College of Arts and Sciences,IU_ORGANIZATION,34944,34972
ROTC,ORG,35076,35080
ROTC,ORG,35185,35189
the college,IU_ORGANIZATION,35229,35240
the college,IU_ORGANIZATION,35265,35276
CHUCK TURNER,PERSON,35334,35346
one,CARDINAL,35355,35358
IU,GPE,35435,35437
BYRUM CARTER,IU_PERSON,35528,35540
IU,GPE,35552,35554
JOSEPH SUTTON,PERSON,35609,35622
JOSEPH SUTTON,PERSON,35687,35700
state of Indiana,IU_ORGANIZATION,35803,35819
CHUCK TURNER,PERSON,35881,35893
DALE PRYWELLER,PERSON,35923,35937
JOSEPH SUTTON,PERSON,36045,36058
annually,DATE,36086,36094
an ordinary week,DATE,36363,36379
Indiana University,IU_ORGANIZATION,36498,36516
today,DATE,36533,36538
this morning,TIME,36712,36724
today,DATE,36747,36752
Daily Student,IU_ORGANIZATION,36985,36998
this morning,TIME,36999,37011
you--,GPE,37126,37131
Yale,ORG,37333,37337
second,ORDINAL,37382,37388
Carter,PERSON,37417,37423
yesterday,DATE,37441,37450
Dean Harvey,PERSON,37459,37470
yesterday,DATE,37488,37497
south,LOC,37676,37681
the uni-- that university administration,ORG,38220,38260
Washington,GPE,38595,38605
the next three weeks,DATE,38701,38721
the last 10 days,DATE,39358,39374
12 years,DATE,39864,39872
the Air Force,ORG,39876,39889
last year,DATE,39915,39924
the Veterans for Peace,ORG,40053,40075
DALE PRYWELLER,PERSON,40080,40094
Carter,PERSON,40133,40139
Boyle,PERSON,40147,40152
BYRUM CARTER,IU_PERSON,40154,40166
DALE PRYWELLER,PERSON,40309,40323
BYRUM CARTER,IU_PERSON,40337,40349
faculty council,IU_ORGANIZATION,40408,40423
yesterday,DATE,40424,40433
DALE PRYWELLER,PERSON,40614,40628
HARRY PRATTER,PERSON,40635,40648
Chris,PERSON,40752,40757
Lohman,PERSON,40761,40767
English department,IU_ORGANIZATION,40780,40798
Tom,PERSON,40804,40807
Shelley,PERSON,40829,40836
Geller,PERSON,40840,40846
Peter Lintenbaum,PERSON,40854,40870
eight,CARDINAL,40906,40911
$50,MONEY,40991,40994
50,MONEY,41028,41030
400,MONEY,41052,41055
Tom,PERSON,41213,41216
march,DATE,41278,41283
Tom,PERSON,41295,41298
Tom,PERSON,41319,41322
eight,CARDINAL,41338,41343
Tom,PERSON,41379,41382
500,MONEY,41565,41568
tonight,TIME,41751,41758
50,MONEY,41782,41784
500,MONEY,41804,41807
500,MONEY,41905,41908
KEITH PARKER,IU_PERSON,42003,42015
446.18,MONEY,42086,42092
7:00 PM,TIME,42403,42410
auditorium--,LOC,42440,42452
Stan  ,PERSON,42493,42499
Vietnam,GPE,42517,42524
Edward Sherman,PERSON,42536,42550
American,NORP,42558,42566
Indo,NORP,42582,42586
Julius,PERSON,42610,42616
Vietnam,GPE,42619,42626
George [,PERSON,42660,42668
Jergens,PERSON,42670,42677
Vietnam--,ORG,42706,42715
KEITH PARKER,IU_PERSON,42731,42743
Keith Parker,IU_PERSON,42754,42766
the Black Panthers,ORG,42768,42786
auditorium,IU_BUILDING,42892,42902
HARRY PRATTER,PERSON,42924,42937
first,ORDINAL,42978,42983
HARRY PRATTER,PERSON,43097,43110
today,DATE,43198,43203
next month,DATE,43238,43248
Vietnam,GPE,43395,43402
"9,800",CARDINAL,43616,43621
four days,DATE,43691,43700
"7,000",CARDINAL,43702,43707
"12,000",CARDINAL,43757,43763
BYRUM CARTER,IU_PERSON,43781,43793
HARRY PRATTER,PERSON,43815,43828
BYRUM CARTER,IU_PERSON,43865,43877
12,CARDINAL,43924,43926
seven,CARDINAL,43932,43937
19,CARDINAL,43944,43946
HARRY PRATTER,PERSON,44010,44023
One,CARDINAL,44040,44043
last year,DATE,44234,44243
JOSEPH SUTTON,PERSON,45071,45084
DALE PRYWELLER,PERSON,45172,45186
Sutton,PERSON,45212,45218
JOSEPH SUTTON,PERSON,45246,45259
DALE PRYWELLER,PERSON,45459,45473
let--,ORG,45488,45493
a moment ago,TIME,45679,45691
JOSEPH SUTTON,PERSON,46122,46135
Bloomington,GPE,46159,46170
JOSEPH SUTTON,PERSON,46369,46382
Bloomington,GPE,46401,46412
faculty council,IU_ORGANIZATION,46413,46428
KEITH PARKER,IU_PERSON,46469,46481
my-- JOSEPH SUTTON,PERSON,46487,46505
Arts and Sciences College,ORG,46891,46916
two,CARDINAL,47425,47428
JOSEPH SUTTON,PERSON,47745,47758
Pratter,PERSON,47767,47774
HARRY PRATTER,PERSON,47791,47804
Arts and Science,ORG,48936,48952
op--,ORG,49251,49255
KEITH PARKER,IU_PERSON,49569,49581
Pratter,PERSON,49590,49597
uh--  ,PERSON,49599,49605
Sutton,PERSON,49929,49935
second,ORDINAL,50076,50082
JOSEPH SUTTON,PERSON,50343,50356
HARRY PRATTER,PERSON,50385,50398
just a minute,TIME,50404,50417
KEITH PARKER,IU_PERSON,50612,50624
JOSEPH SUTTON,PERSON,50707,50720
you're--,PERSON,50817,50825
Indiana University,IU_ORGANIZATION,51001,51019
KEITH PARKER,IU_PERSON,51037,51049
Just-- JOSEPH SUTTON,PERSON,51054,51074
DALE PRYWELLER,PERSON,51210,51224
JOSEPH SUTTON,PERSON,51343,51356
JOSEPH SUTTON,PERSON,51609,51622
Harvard,ORG,51649,51656
JOSEPH SUTTON,PERSON,51665,51678
Harvard,ORG,51684,51691
JOSEPH SUTTON,PERSON,51798,51811
Ike,PERSON,51989,51992
Ike,PERSON,52000,52003
JOSEPH SUTTON,PERSON,52006,52019
Sutton,PERSON,52207,52213
three years,DATE,52247,52258
Thailand,GPE,52309,52317
Thailand,GPE,52377,52385
28 years,DATE,52417,52425
$1.3 million,MONEY,52453,52465
Thailand,GPE,52489,52497
Thailand,GPE,52523,52531
ROTC,ORG,52564,52568
United States,GPE,52661,52674
ROTC,ORG,52775,52779
70%,PERCENT,52789,52792
the United States Army,ORG,52812,52834
Vietnam,GPE,52838,52845
ROTC,ORG,52850,52854
ROTC,ORG,52933,52937
Vietnamese,NORP,53001,53011
Cambodian,NORP,53027,53036
American,NORP,53081,53089
DALE PRYWELLER,PERSON,53126,53140
HARRY,PERSON,53181,53186
PRATTER,PERSON,53187,53194
JOSEPH SUTTON,PERSON,53236,53249
Thailand,GPE,53283,53291
JOSEPH SUTTON,PERSON,53305,53318
Thailand,GPE,53410,53418
One,CARDINAL,53575,53578
School of Education,IU_BUILDING,53584,53603
Thailand,GPE,53680,53688
JOSEPH SUTTON,PERSON,53785,53798
DALE PRYWELLER,PERSON,53894,53908
JOSEPH SUTTON,PERSON,53918,53931
JOSEPH SUTTON,PERSON,54135,54148
DALE PRYWELLER,PERSON,54174,54188
JOSEPH SUTTON,PERSON,54210,54223
Thailand,GPE,54332,54340
agrarian--,CARDINAL,54389,54399
Thailand,GPE,54519,54527
JOSEPH SUTTON,PERSON,54596,54609
me--,ORG,54635,54639
Indiana University,IU_ORGANIZATION,54854,54872
con--,ORG,54881,54886
the University of Wisconsin,ORG,54903,54930
the Michigan State University,ORG,54932,54961
the University of Minnesota,ORG,54967,54994
10,CARDINAL,55031,55033
help--,CARDINAL,55128,55134
the Ford Foundation,ORG,55264,55283
the National Institute of Development Administration,ORG,55334,55386
Thailand,GPE,55489,55497
JOSEPH SUTTON,PERSON,55499,55512
HARRY,PERSON,55619,55624
PRATTER,PERSON,55625,55632
last year,DATE,55731,55740
Snyder,PERSON,55765,55771
JOSEPH SUTTON,PERSON,55982,55995
JOSEPH SUTTON,PERSON,56173,56186
If--,PERSON,56265,56269
Sutton,PERSON,56570,56576
DALE PRYWELLER,PERSON,56632,56646
DALE PRYWELLER,PERSON,56682,56696
Marty,PERSON,56698,56703
Carter,PERSON,56804,56810
first,ORDINAL,56882,56887
BYRUM CARTER,IU_PERSON,57008,57020
BYRUM CARTER,IU_PERSON,57262,57274
Yale,ORG,57353,57357
BYRUM CARTER,IU_PERSON,57408,57420
BYRUM CARTER,IU_PERSON,57437,57449
BYRUM CARTER,IU_PERSON,57503,57515
DALE PRYWELLER,PERSON,57532,57546
BYRUM CARTER,IU_PERSON,57565,57577
Yale,ORG,57839,57843
DALE PRYWELLER,PERSON,57850,57864
Carter,PERSON,57897,57903
a few minutes,TIME,57904,57917
BYRUM CARTER,IU_PERSON,57935,57947
DALE PRYWELLER,PERSON,57959,57973
BYRUM CARTER,IU_PERSON,57997,58009
DALE PRYWELLER,PERSON,58092,58106
Carter,PERSON,58179,58185
DALE PRYWELLER,PERSON,58253,58267
just a minute,TIME,58404,58417
Greek,NORP,58482,58487
bush,PERSON,58727,58731
CBS,PERSON,58937,58940
Cambodia,GPE,59139,59147
Sutton,PERSON,59554,59560
"9,000",CARDINAL,59642,59647
"12,000",CARDINAL,59752,59758
40%,PERCENT,59760,59763
United States,GPE,59778,59791
a minute,TIME,59883,59891
"9,000",CARDINAL,59966,59971
HARRY PRATTER,PERSON,60136,60149
a minute,TIME,60222,60230
HARRY PRATTER,PERSON,60285,60298
HARRY PRATTER,PERSON,60496,60509
Sutton,PERSON,60572,60578
"9,000",CARDINAL,60651,60656
Cambodia,GPE,60819,60827
HARRY PRATTER,PERSON,60858,60871
HARRY PRATTER,PERSON,60925,60938
HARRY PRATTER,PERSON,60973,60986
Sutton,PERSON,61010,61016
Sutton,PERSON,61022,61028
HARRY PRATTER,PERSON,61252,61265
HARRY PRATTER,PERSON,61306,61319
S--,PERSON,61377,61380
JOSEPH SUTTON,PERSON,61610,61623
HARRY,PERSON,61703,61708
PRATTER,PERSON,61709,61716
JOSEPH SUTTON,PERSON,61726,61739
1958,DATE,61817,61821
Thailand,GPE,61844,61852
Southeast Asia,LOC,61968,61982
American,NORP,62280,62288
Um-- HARRY,PERSON,62497,62507
PRATTER,PERSON,62508,62515
JOSEPH SUTTON,PERSON,62525,62538
1970,DATE,62650,62654
One,CARDINAL,62674,62677
one,CARDINAL,62687,62690
things--,FAC,62698,62706
One,CARDINAL,62740,62743
Asia,LOC,62890,62894
Africa,LOC,62899,62905
the Near East,LOC,62910,62923
European,NORP,63003,63011
Asia,LOC,63152,63156
JOSEPH SUTTON,PERSON,63360,63373
Cambodian,NORP,63432,63441
Just--,PERSON,63463,63469
an hour,TIME,63565,63572
just a minute,TIME,63598,63611
an hour and 20 minutes,TIME,63635,63657
5:30,TIME,63674,63678
one,CARDINAL,63828,63831
Sutton,PERSON,63855,63861
two weeks,DATE,63986,63995
JOSEPH SUTTON,PERSON,64031,64044
me--,ORG,64058,64062
it--,PRODUCT,64066,64070
Princeton,ORG,64093,64102
two weeks,DATE,64128,64137
if--,NORP,64284,64288
uh--,PERSON,64527,64531
HARRY PRATTER,PERSON,64558,64571
faculty council,IU_ORGANIZATION,64592,64607
18,DATE,64911,64913
yesterday,DATE,65155,65164
the faculty action committee,ORG,65169,65197
Sutton,PERSON,65325,65331
two or three weeks,DATE,65554,65572
six weeks,DATE,65760,65769
election day,DATE,65776,65788
Monroe County,GPE,65865,65878
second,ORDINAL,66007,66013
half,CARDINAL,66014,66018
Carter,PERSON,66103,66109
Levy,PERSON,66117,66121
Yale,ORG,66140,66144
BYRUM CARTER,IU_PERSON,66152,66164
Yale,ORG,66200,66204
let--,ORG,66275,66280
one,CARDINAL,66292,66295
one,CARDINAL,66324,66327
1952,DATE,66553,66557
1956,DATE,66565,66569
one,CARDINAL,66608,66611
Princeton,ORG,66631,66640
Princeton,ORG,66727,66736
two,CARDINAL,66757,66760
weeks,DATE,66776,66781
hours,TIME,66850,66855
DALE PRYWELLER,PERSON,66860,66874
wh--,PERSON,66883,66887
JOSEPH SUTTON,PERSON,67258,67271
Parker,PERSON,67481,67487
KEITH PARKER,IU_PERSON,67500,67512
1440,CARDINAL,67919,67923
1970,DATE,67949,67953
two,CARDINAL,68076,68079
first,ORDINAL,68113,68118
auditorium,IU_BUILDING,68187,68197
HARRY PRATTER,PERSON,68235,68248
"9,000",CARDINAL,68639,68644
BYRUM CARTER,IU_PERSON,68762,68774
"9,000",CARDINAL,69784,69789
JOSEPH SUTTON,PERSON,69833,69846
board of trustees,IU_ORGANIZATION,69981,69998
JOSEPH SUTTON,PERSON,70114,70127
HARRY,PERSON,70358,70363
PRATTER,PERSON,70364,70371
Sutton,PERSON,70589,70595
two years ago,DATE,70597,70610
The fall of 1967,DATE,70770,70786
Byron Carter,PERSON,71045,71057
Miller,PERSON,71120,71126
Smith,PERSON,71141,71146
JOSEPH SUTTON,PERSON,71231,71244
officer,IU_ORGANIZATION,71263,71270
it-- it--,PRODUCT,71284,71293
JOSEPH SUTTON,PERSON,71317,71330
IU Safety division,IU_ORGANIZATION,71546,71564
JOSEPH SUTTON,PERSON,71612,71625
IU Safety Division,IU_ORGANIZATION,71637,71655
JOSEPH SUTTON,PERSON,71705,71718
JOSEPH SUTTON,PERSON,71814,71827
Gary  ,PERSON,72227,72233
no less than four,CARDINAL,72269,72286
tonight,TIME,72534,72541
Gary,PERSON,72591,72595
two,CARDINAL,72664,72667
HARRY PRATTER,PERSON,72679,72692
two,CARDINAL,72746,72749
One,CARDINAL,72769,72772
four,CARDINAL,72817,72821
two,CARDINAL,72877,72880
four,CARDINAL,72978,72982
health center,IU_BUILDING,73057,73070
JOSEPH SUTTON,PERSON,73072,73085
HARRY,PERSON,73146,73151
PRATTER,PERSON,73152,73159
KEITH PARKER,IU_PERSON,73446,73458
afternoon,TIME,73597,73606
"4,000",CARDINAL,73763,73768
another few thousand,CARDINAL,73797,73817
evening,TIME,73975,73982
afternoon,TIME,73994,74003
Harry Pratter,PERSON,74015,74028
Dale Pryweller,PERSON,74054,74068
