text,type,start_char,end_char
Tuesday,DATE,8013,8020
night,TIME,8021,8026
Robert Maynard Hutchins,PERSON,9205,9228
American,NORP,9757,9765
these days,DATE,10168,10178
America,GPE,10844,10851
Western Europe,LOC,10907,10921
the Pacific Rim,LOC,10968,10983
John Dewey's,PERSON,13212,13224
American,NORP,13438,13446
Academy,ORG,13984,13991
one,CARDINAL,14676,14679
American,NORP,15073,15081
US,GPE,15678,15680
Daniel Goleman,PERSON,16256,16270
two,CARDINAL,16778,16781
American,NORP,16922,16930
English Comp,FAC,17650,17662
American,NORP,17986,17994
Tuesday evening,TIME,18847,18862
this afternoon,TIME,19019,19033
Sandy,PERSON,19125,19130
Tuesday,DATE,19853,19860
night,TIME,19861,19866
mission--,LOC,20353,20362
three,CARDINAL,20539,20544
one,CARDINAL,21057,21060
American,NORP,22804,22812
first,ORDINAL,23589,23594
second,ORDINAL,23714,23720
GPA,ORG,24207,24210
two,CARDINAL,24244,24247
American,NORP,24569,24577
secondary,ORDINAL,25068,25077
Division 1A athletics--,ORG,25494,25517
one,CARDINAL,27206,27209
one,CARDINAL,27319,27322
GPA,ORG,29501,29504
ACT,ORG,30949,30952
American,NORP,31625,31633
"3,000",CARDINAL,31740,31745
10,CARDINAL,34249,34251
GPA,ORG,35011,35014
earlier today,TIME,38138,38151
de Tocqueville,PERSON,38630,38644
more than a century and a half ago,DATE,38656,38690
about Tuesday night,TIME,39105,39124
today,DATE,39356,39361
this afternoon,TIME,39477,39491
one,CARDINAL,40816,40819
the past few years,DATE,41040,41058
1,CARDINAL,42830,42831
Astin,PERSON,43004,43009
Dick McKay,PERSON,43053,43063
100%,PERCENT,43078,43082
Dick,PERSON,43146,43150
MCKAY,PERSON,43187,43192
17th,ORDINAL,43325,43329
this year,DATE,43473,43482
Debbie Fein,PERSON,43506,43517
the Office of Afro-American,ORG,43522,43549
Office of Academic Affairs,ORG,43573,43599
Academic Affairs,ORG,43707,43723
the Office of the Vice,ORG,43728,43750
Student Affairs,ORG,43766,43781
5:30,TIME,43951,43955
today,DATE,43997,44002
tomorrow,DATE,44062,44070
9:00,TIME,44126,44130
the day,DATE,44160,44167
three,CARDINAL,44184,44189
17,CARDINAL,44224,44226
45,CARDINAL,44262,44264
Bloomington,GPE,44458,44469
this afternoon,TIME,44590,44604
Suzanne,PERSON,44854,44861
Tomorrow morning,TIME,44934,44950
Tomorrow morning,TIME,44966,44982
8:15 in the morning,TIME,45023,45042
day,DATE,45124,45127
the morning,TIME,45200,45211
the day,DATE,45312,45319
the Patten Lecture,WORK_OF_ART,45348,45366
this afternoon,TIME,45367,45381
Sandy,PERSON,45491,45496
Christian,NORP,46318,46327
Jesus Christ,PERSON,46376,46388
ALEXANDER ASTIN,PERSON,46627,46642
Titanic,PERSON,47666,47673
Indiana University,ORG,47874,47892
ALEXANDER ASTIN,PERSON,48365,48380
two,CARDINAL,48405,48408
two,CARDINAL,48477,48480
one,CARDINAL,48632,48635
one,CARDINAL,49632,49635
two,CARDINAL,49647,49650
I-- I--,PRODUCT,50342,50349
ALEXANDER ASTIN,PERSON,50740,50755
one,CARDINAL,50901,50904
what's--,ORG,51624,51632
2,CARDINAL,52500,52501
ALEXANDER ASTIN,PERSON,52524,52539
ALEXANDER ASTIN,PERSON,52693,52708
UCLA,ORG,52941,52945
I--,ORG,53966,53969
four years ago,DATE,54424,54438
Jacobs,PERSON,54477,54483
They Went to College,WORK_OF_ART,54510,54530
ALEXANDER ASTIN,PERSON,54534,54549
20 years later,DATE,54768,54782
four years,DATE,54840,54850
ALEXANDER ASTIN,PERSON,55165,55180
ALEXANDER ASTIN,PERSON,55372,55387
Jacobs,PERSON,55423,55429
50s,DATE,55489,55492
early '60s,DATE,55514,55524
Jacobs,ORG,56087,56093
I--,ORG,56927,56930
ALEXANDER ASTIN,PERSON,57151,57166
one,CARDINAL,57205,57208
Tuesday,DATE,57446,57453
night,TIME,57454,57459
not--,PERSON,57490,57495
who--,PERSON,57904,57909
who--,PERSON,58031,58036
Tuesday,DATE,58676,58683
night,TIME,58684,58689
today,DATE,58728,58733
Harvard,ORG,59740,59747
Harvard,ORG,59749,59756
ALEXANDER ASTIN,PERSON,59809,59824
Harvard,ORG,59857,59864
1,CARDINAL,60944,60945
Astin,PERSON,60966,60971
the University Club,ORG,61042,61061
